region,crop_type,Year,Area (1000 Ha),Production (1000 Tons),Yield (T/Ha),sowing_date,harvest_date,avg_temp,total_precipitation,avg_solar_radiation,soil_type,avg_soil_moisture,,nitrgoen_level,phosphorous level,pottasium level
East Midlands,wheat,2021,1790,13988,7.8,20-11-2021,04-07-2022,10.2,106.3333333,67.525,Clay,28,,99,9,138
East Midlands,wheat,2022,1813,15540,8.6,20-10-2022,06-07-2023,10.89166667,93.61666667,60.375,Sandy,52,,84,7,65
East Midlands,wheat,2023,1719,13980,8.1,27-10-2023,12-07-2024,10.20833333,125.7083333,81.59166667,Silt,51,,94,8,164
East Midlands,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.45833333,95.925,65.425,Loam,69,,92,9,129
East Midlands,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,10.45,98.74166667,61.79166667,Clay,30,,95,7,97
East Midlands,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,10.35833333,103.7833333,60.575,Sandy,36,,103,10,79
East Midlands,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.61666667,115.925,81.11666667,Silt,60,,90,8,122
East Midlands,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,10.2,123.9666667,77.34166667,Loam,62,,99,10,156
East Midlands,barley,2021,1150,6961,6.1,20-11-2021,04-07-2022,10.89166667,106.3333333,67.525,Clay,49,,99,9,138
East Midlands,barley,2022,1116,7385,6.6,20-10-2022,06-07-2023,12,93.61666667,60.375,Sandy,53,,84,7,65
East Midlands,barley,2023,1137,6963,6.1,27-10-2023,12-07-2024,11.1,125.7083333,81.59166667,Silt,73,,94,8,164
West Midlands,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,126.7833333,9.95,98.74166667,Loam,62,,109,8,124
West Midlands,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,119.7916667,10.26666667,103.7833333,Clay,42,,86,9,145
West Midlands,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,135.4166667,10.275,115.925,Sandy,54,,79,8,131
West Midlands,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,128.25,10.03333333,123.9666667,Silt,40,,92,9,126
West Midlands,wheat,2020,1387,9658,7,08-10-2020,04-07-2021,139.2833333,10.41666667,106.3333333,Loam,69,,88,7,61
West Midlands,wheat,2021,1790,13988,7.8,20-11-2021,04-07-2022,125.8166667,9.983333333,93.61666667,Clay,63,,101,9,102
West Midlands,wheat,2022,1813,15540,8.6,20-10-2022,06-07-2023,139.6333333,10.775,125.7083333,Sandy,72,,100,7,95
West Midlands,wheat,2023,1719,13980,8.1,27-10-2023,12-07-2024,122.5583333,10.775,98.74166667,Silt,54,,90,7,90
West Midlands,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,126.7833333,9.95,103.7833333,Loam,72,,109,8,124
West Midlands,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,119.7916667,10.26666667,115.925,Clay,26,,86,9,145
West Midlands,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,135.4166667,10.275,123.9666667,Sandy,59,,79,8,131
West Midlands,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,128.25,10.03333333,106.3333333,Silt,25,,92,9,126
West Midlands,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,139.2833333,10.41666667,93.61666667,Loam,52,,88,7,61
West Midlands,barley,2021,1150,6961,6.1,20-11-2021,04-07-2022,125.8166667,9.983333333,125.7083333,Clay,62,,101,9,102
West Midlands,barley,2022,1116,7385,6.6,20-10-2022,06-07-2023,139.6333333,10.775,98,Sandy,47,,100,7,95
West Midlands,barley,2023,1137,6963,6.1,27-10-2023,12-07-2024,122.5583333,10.775,101.99,Silt,29,,90,7,90
East of England,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.7,49.01666667,136.7833333,Loam,58,,103,9,135
East of England,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,10.925,50.35833333,130.7583333,Clay,74,,101,9,115
East of England,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,11.01666667,46.39166667,151.3416667,Sandy,34,,99,7,97
East of England,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.78333333,52.325,144.8,Silt,60,,87,9,63
East of England,wheat,2020,1387,9658,7,08-10-2020,04-07-2021,11.225,58.09166667,150.9166667,Loam,27,,103,8,174
East of England,wheat,2021,1790,13988,7.8,20-11-2021,04-07-2022,10.44166667,52.95,125.1583333,Clay,68,,93,8,94
East of England,wheat,2022,1813,15540,8.6,20-10-2022,06-07-2023,11.51666667,42.03333333,161.85,Sandy,29,,90,8,85
East of England,wheat,2023,1719,13980,8.1,27-10-2023,12-07-2024,11.40833333,61.20833333,143.55,Silt,31,,93,7,74
East of England,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.7,49.01666667,136.7833333,Loam,68,,103,9,135
East of England,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,10.925,50.35833333,130.7583333,Clay,43,,101,9,115
East of England,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,11.01666667,46.39166667,151.3416667,Sandy,56,,99,7,97
East of England,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.78333333,52.325,144.8,Silt,51,,87,9,63
East of England,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,11.225,58.09166667,150.9166667,Loam,70,,103,8,174
East of England,barley,2021,1150,6961,6.1,20-11-2021,04-07-2022,10.44166667,52.95,125.1583333,Clay,68,,93,8,94
East of England,barley,2022,1116,7385,6.6,20-10-2022,06-07-2023,11.51666667,42.03333333,161.85,Sandy,75,,90,8,85
East of England,barley,2023,1137,6963,6.1,27-10-2023,12-07-2024,11.40833333,61.20833333,143.55,Silt,27,,93,7,74
South East England,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.775,60.81666667,138.6333333,Loam,68,,102,7,97
South East England,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,11,60.50833333,137.8,Clay,67,,75,7,57
South East England,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,11.13333333,63.24166667,154.4583333,Sandy,28,,80,8,168
South East England,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.84166667,71.55833333,144.2583333,Silt,31,,75,7,82
South East England,wheat,2020,1387,9658,7,08-10-2020,04-07-2021,11.38333333,75.03333333,152.5166667,Loam,28,,86,10,95
South East England,wheat,2021,1790,13988,7.8,20-11-2021,04-07-2022,10.55833333,67.29166667,124.4916667,Clay,74,,108,9,172
South East England,wheat,2022,1813,15540,8.6,20-10-2022,06-07-2023,11.59166667,62.51666667,152.7333333,Sandy,73,,95,9,63
South East England,wheat,2023,1719,13980,8.1,27-10-2023,12-07-2024,11.49166667,84.64166667,136.2333333,Silt,53,,108,8,122
South East England,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.775,60.81666667,138.6333333,Loam,72,,102,7,97
South East England,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,11,60.50833333,137.8,Clay,69,,75,7,57
South East England,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,11.13333333,63.24166667,154.4583333,Sandy,29,,80,8,168
South East England,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.84166667,71.55833333,144.2583333,Silt,49,,75,7,82
South East England,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,11.38333333,75.03333333,152.5166667,Loam,35,,86,10,95
South East England,barley,2021,1150,6961,6.1,20-11-2021,04-07-2022,10.55833333,67.29166667,124.4916667,Clay,53,,108,9,172
South East England,barley,2022,1116,7385,6.6,20-10-2022,06-07-2023,11.59166667,62.51666667,152.7333333,Sandy,40,,95,9,63
South East England,barley,2023,1137,6963,6.1,27-10-2023,12-07-2024,11.49166667,84.64166667,136.2333333,Silt,36,,108,8,122
South West England,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.20833333,95.925,126.7833333,Loam,62,,96,10,170
South West England,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,10.45833333,98.74166667,119.7916667,Clay,59,,107,9,158
South West England,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,10.45,103.7833333,135.4166667,Sandy,70,,78,10,163
South West England,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.35833333,115.925,128.25,Silt,29,,101,8,134
South West England,wheat,2020,1387,9658,7,08-10-2020,04-07-2021,10.61666667,123.9666667,139.2833333,Loam,53,,77,7,57
South West England,wheat,2021,1790,13988,7.8,20-11-2021,04-07-2022,10.2,106.3333333,125.8166667,Clay,36,,88,10,147
South West England,wheat,2022,1813,15540,8.6,20-10-2022,06-07-2023,10.89166667,93.61666667,139.6333333,Sandy,32,,92,8,160
South West England,wheat,2023,1719,13980,8.1,27-10-2023,12-07-2024,11.04166667,125.7083333,122.5583333,Silt,61,,96,8,141
South West England,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.20833333,95.925,126.7833333,Loam,43,,96,10,170
South West England,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,10.45833333,98.74166667,119.7916667,Clay,25,,107,9,158
South West England,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,10.45,103.7833333,135.4166667,Sandy,27,,78,10,163
South West England,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.35833333,115.925,128.25,Silt,43,,101,8,134
South West England,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,10.61666667,123.9666667,139.2833333,Loam,42,,77,7,57
South West England,barley,2021,1150,6961,6.1,20-11-2021,04-07-2022,10.2,106.3333333,125.8166667,Clay,31,,88,10,147
South West England,barley,2022,1116,7385,6.6,20-10-2022,06-07-2023,10.89166667,93.61666667,139.6333333,Sandy,36,,92,8,160
South West England,barley,2023,1137,6963,6.1,27-10-2023,12-07-2024,11.04166667,125.7083333,122.5583333,Silt,33,,96,8,141
